country,sex,Total,5-9 (age bands),10-14 (age bands),15-19 (age bands),20-24 (age bands),25-29 (age bands),30-34 (age bands),35-39 (age bands),40-44 (age bands),45-49 (age bands),50-54 (age bands),55-59 (age bands),60-64 (age bands),65+ (age bands)
Cameroon,Female (Sex),0.564,NA,0.642,0.335,0.496,0.57,0.76,0.836,0.867,0.859,0.882,0.883,0.822,0.775
Canada,Female (Sex),0.523,NA,NA,0.515,0.752,0.809,0.814,0.828,0.832,0.823,0.806,0.694,0.476,0.094
Cape Verde,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,Female (Sex),0.198,NA,NA,0.892,0.916,0.947,0.942,0.91,0.947,0.802,0.792,0.225,NA,0.806
Chile,Female (Sex),0.498,NA,NA,0.465,0.669,0.72,0.684,0.666,0.675,0.61,0.573,0.376,0.483,0.155
Colombia,Female (Sex),0.726,NA,NA,0.696,0.623,0.491,0.5,0,0.037,0.283,0.614,0.718,0.74,0.741
Congo,Female (Sex),NA,NA,NA,0.658,NA,0.643,NA,0.649,0.466,0.43,0.263,0.486,0.585,0.64
Cook Islands,Female (Sex),0.654,NA,NA,0.836,0.823,0.771,0.727,0.7,0.631,0.523,0.294,0.081,NA,NA
Costa Rica,Female (Sex),0.154,NA,NA,0.532,0.651,0.676,0.63,0.608,0.601,0.53,0.428,0.261,0.452,0.011
Croatia,Female (Sex),0.446,NA,NA,0.106,0.388,0.752,0.843,0.823,0.779,0.76,0.664,0.46,0.198,0.027
Cuba,Female (Sex),0.109,NA,NA,0.595,0.63,0.637,0.653,0.582,0.557,0.281,0.11,0.021,NA,0.605
Cyprus,Female (Sex),0.641,NA,NA,0.883,0.863,0.844,0.803,0.81,0.687,0.567,0.274,0.039,0.571,0.06
Czech Republic,Female (Sex),0.7,NA,NA,0.67,0.814,0.905,0.945,0.901,0.703,0.193,0.038,0.509,0.048,0.421
Denmark,Female (Sex),0.772,NA,NA,0.844,0.862,0.878,0.869,0.851,0.793,0.399,0.037,0.586,0.547,0.698
Dominica,Female (Sex),NA,NA,NA,0.642,0.637,0.642,0.651,0.642,0.565,0.386,0.228,0.089,NA,0.169
Dominican Republic,Female (Sex),0.207,NA,0.571,0.698,0.717,0.721,0.688,0.641,0.576,0.425,0.314,0.12,0.445,0.008
Ecuador,Female (Sex),NA,NA,NA,0.154,0.459,0.587,0.594,0.624,0.649,0.608,0.608,0.549,0.421,0.038
Egypt,Female (Sex),0.232,NA,0.003,0.086,0.294,0.295,0.27,0.284,0.294,0.312,0.265,0.237,0.084,0.032
El Salvador,Female (Sex),0.493,NA,0.057,0.454,0.584,0.642,0.679,0.66,0.637,0.57,0.511,0.433,0.186,NA
Estonia,Female (Sex),0.101,NA,NA,0.725,0.741,0.824,0.897,0.931,0.86,0.803,0.523,0.094,0.08,0.554
Ethiopia,Female (Sex),0.861,NA,NA,0.871,0.878,0.843,0.837,0.766,0.722,0.585,0.746,0.612,0.692,0.818
Faeroe Islands,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands (Malvinas),Female (Sex),NA,NA,NA,0.92,1,1,1,0.99,0.98,1,1,0.97,1,0.91
Fiji,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,Female (Sex),0.465,NA,NA,0.368,0.685,0.767,0.752,0.811,0.879,0.901,0.88,0.819,0.465,0.034
France,Female (Sex),0.12,NA,NA,0.813,0.822,0.846,0.855,0.86,0.813,0.687,0.231,0.017,0.393,0.518
French Guiana,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,Female (Sex),NA,NA,NA,0.672,0.661,0.651,0.623,0.607,0.481,0.341,0.133,0.043,NA,0.139
Gabon,Female (Sex),0.248,NA,NA,0.47,0.639,0.706,0.615,0.643,0.546,0.395,0.208,0.188,0.399,0.069
Georgia,Female (Sex),0.401,NA,NA,0.583,0.635,0.697,0.808,0.797,0.759,0.754,0.646,0.361,0.568,0.113
Germany,Female (Sex),0.675,NA,NA,0.791,0.803,0.807,0.847,0.855,0.823,0.748,0.454,0.036,0.546,0.269
Ghana,Female (Sex),0.457,NA,NA,0.288,0.835,0.82,0.909,0.922,0.915,0.883,0.833,0.847,0.456,0.696
Gibraltar,Female (Sex),0.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,Female (Sex),0.014,NA,NA,0.438,0.065,0.455,0.816,0.815,0.785,0.765,0.721,0.57,0.405,0.208
Guadeloupe,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,Female (Sex),0.352,0.15,NA,0.012,0.083,0.239,0.45,0.504,0.463,0.526,0.512,0.485,0.429,0.377
Guinea,Female (Sex),0.327,NA,0.624,0.368,0.603,0.657,0.721,0.742,0.76,0.771,0.756,0.733,0.694,0.57
Guyana,Female (Sex),0.221,NA,NA,0.227,0.407,0.389,0.388,0.41,0.423,0.417,0.378,0.277,0.174,0.103
Haiti,Female (Sex),0.369,NA,NA,0.187,0.483,0.679,0.778,0.805,0.821,0.82,0.786,0.724,0.627,0.475
Honduras,Female (Sex),0.372,NA,0.541,0.587,0.603,0.559,0.516,0.471,0.394,0.236,NA,NA,NA,NA
"Hong Kong, China",Female (Sex),0.815,NA,NA,0.743,0.713,0.638,0.47,0.239,0.033,0.534,0.545,0.115,0.642,0.866
Hungary,Female (Sex),0.749,NA,NA,0.841,0.857,0.802,0.56,0.12,0.013,0.453,0.038,0.412,0.694,0.689
Iceland,Female (Sex),0.876,NA,NA,0.868,0.887,0.789,0.764,0.282,0.776,0.812,0.816,0.817,0.816,0.866
India,Female (Sex),0.424,NA,NA,0.421,0.411,0.375,0.333,0.262,0.258,0.025,0.143,0.265,0.332,0.378
Indonesia,Female (Sex),0.573,NA,NA,0.613,0.64,0.623,0.54,0.451,0.243,0.503,0.271,0.529,0.548,0.539
"Iran, Islamic Rep. of",Female (Sex),0.191,NA,0.188,0.149,0.112,0.089,0.071,0.032,0.124,0.015,0.063,0.178,0.24,0.223
Iraq,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,Female (Sex),0.738,NA,NA,0.669,0.577,0.351,0.049,0.374,0.163,0.53,0.164,0.621,0.772,0.771
Isle of Man,Female (Sex),NA,NA,NA,0.839,0.854,0.861,0.812,0.695,0.365,0.575,0.358,0.718,0.849,0.832
Israel,Female (Sex),0.792,NA,NA,0.778,0.774,0.733,0.672,0.507,0.112,NA,0.582,0.293,0.684,0.76
Italy,Female (Sex),0.706,NA,NA,0.663,0.617,0.498,0.187,0.015,NA,0.397,0.06,0.392,0.606,0.677
Jamaica,Female (Sex),0.557,NA,NA,0.166,NA,NA,NA,NA,NA,0.077,NA,0.73,NA,0.759
Japan,Female (Sex),0.474,NA,NA,0.138,0.489,0.156,0.703,0.79,0.701,0.696,0.731,0.761,0.749,0.665
Jersey,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,Female (Sex),0.321,NA,NA,0.351,0.303,0.132,0.005,0.176,0.241,0.12,0.015,0.002,0.207,0.063
Kazakhstan,Female (Sex),0.599,NA,NA,0.894,0.914,0.922,0.936,0.924,0.907,0.731,0.188,0.029,0.667,0.121
Kiribati,Female (Sex),0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Republic of Korea,Female (Sex),0.68,NA,NA,0.502,0.087,0.522,0.234,0.718,0.49,0.584,0.401,0.555,0.51,0.639
Kosovo,Female (Sex),0.237,NA,NA,0.221,0.219,0.21,0.16,0.104,0.042,NA,NA,0.225,NA,NA
Kuwait,Female (Sex),0.444,NA,NA,0.631,0.182,0.078,0.023,NA,NA,0.595,0.621,0.024,0.406,0.646
Kyrgyzstan,Female (Sex),NA,NA,NA,0.702,0.646,0.425,0.209,0.492,0.214,0.485,0.576,0.598,0.69,0.707
Lao People's Democratic Republic,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Female (Sex),0.848,NA,NA,0.878,0.88,0.844,0.804,0.398,0.061,0.54,0.087,0.552,0.796,0.839
Lebanon,Female (Sex),0.243,NA,NA,0.22,0.172,0.14,0.111,0.032,NA,0.162,0.058,0.298,0.426,0.358
Lesotho,Female (Sex),0.758,NA,NA,0.753,0.764,0.751,0.652,0.638,0.488,0.016,0.232,0.538,0.743,0.77
Liberia,Female (Sex),NA,NA,NA,0.744,0.753,0.742,0.692,0.645,0.583,0.566,0.237,0.436,0.639,0.688
Liechtenstein,Female (Sex),0.759,NA,NA,0.735,0.731,0.763,0.741,0.64,0.331,0.062,0.535,0.326,0.607,0.752
Lithuania,Female (Sex),0.891,NA,NA,0.916,0.901,0.85,0.744,0.363,0.036,0.448,0.529,0.034,0.473,0.857
Luxembourg,Female (Sex),0.78,NA,NA,0.714,0.469,0.185,0.017,0.525,0.094,0.346,0.812,0.864,0.848,0.806
"Macau, China",Female (Sex),0.814,NA,NA,0.727,0.523,0.358,0.069,0.675,0.135,0.708,0.889,0.892,0.888,0.866
TFYR of Macedonia,Female (Sex),0.659,NA,NA,0.65,0.586,0.489,0.184,0.019,0.445,0.101,0.42,0.672,0.722,0.663
Madagascar,Female (Sex),0.945,NA,0.93,0.954,0.926,0.918,0.88,0.75,0.725,0.267,0.676,0.849,0.906,0.933
Malaysia,Female (Sex),0.702,NA,NA,0.684,0.659,0.635,0.6,0.535,0.388,0.253,NA,0.524,0.132,NA
Maldives,Female (Sex),NA,NA,NA,0.617,0.608,0.598,0.593,0.606,0.581,0.56,0.36,0.013,0.32,0.638
Mali,Female (Sex),0.475,NA,0.46,0.52,0.526,0.58,0.53,0.569,0.625,0.528,0.446,0.249,0.468,0.302
Malta,Female (Sex),0.691,NA,NA,0.57,0.518,0.41,0.303,0.091,0.012,NA,0.398,0.231,0.716,0.808
Marshall Islands,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,Female (Sex),0.744,NA,NA,0.822,0.785,0.675,0.542,0.239,0.029,0.526,0.042,0.453,0.752,0.773
Mauritania,Female (Sex),0.222,NA,0.327,0.358,0.396,0.393,0.437,0.309,0.358,0.203,0.344,0.288,0.125,NA
Mauritius,Female (Sex),0.212,NA,NA,0.672,0.611,0.62,0.639,0.554,0.429,0.376,0.443,0.01,0.156,0.551
Mexico,Female (Sex),0.071,NA,NA,0.222,0.461,0.56,0.571,0.573,0.576,0.555,0.504,0.427,0.318,0.442
Republic of Moldova,Female (Sex),0.06,NA,NA,0.484,0.619,0.658,0.636,0.613,0.429,0.194,0.056,NA,0.386,NA
Monaco,Female (Sex),0.303,NA,NA,0.652,0.644,0.624,0.578,0.495,0.392,0.181,0.059,0.307,0.017,NA
Mongolia,Female (Sex),0.698,NA,0.724,0.797,0.823,0.811,0.677,0.375,0.202,0.069,0.404,0.563,0.107,0.451
Montenegro,Female (Sex),NA,NA,NA,0.755,0.649,0.631,0.255,0.152,0.059,0.426,0.082,0.447,0.61,0.681
Morocco,Female (Sex),0.291,NA,NA,0.314,0.305,0.316,0.312,0.279,0.192,0.262,0.019,0.116,0.237,0.305
Mozambique,Female (Sex),0.899,NA,NA,0.921,0.907,0.905,0.869,0.817,0.811,0.689,0.832,0.686,0.835,0.886
Namibia,Female (Sex),0.867,NA,NA,0.857,0.839,0.818,0.749,0.682,0.5,0.31,0.696,0.18,0.655,0.857
Nauru,Female (Sex),0.787,NA,NA,0.785,0.717,0.6,0.541,0.2,0.493,0.613,0.751,0.782,0.733,NA
Nepal,Female (Sex),0.88,NA,0.909,0.897,0.888,0.86,0.814,0.74,0.446,0.775,0.801,0.733,0.777,0.844
Netherlands,Female (Sex),0.843,NA,NA,0.829,0.818,0.777,0.669,0.379,0.033,0.594,0.62,0.789,0.86,0.843
Netherlands Antilles,Female (Sex),NA,NA,NA,0.835,0.823,0.834,0.76,0.654,0.269,0.545,0.108,0.483,0.721,0.883
New Caledonia,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,Female (Sex),0.747,NA,NA,0.736,0.745,0.802,0.824,0.845,0.792,0.653,0.152,0.629,0.436,0.704
Nicaragua,Female (Sex),0.198,NA,0.224,0.441,0.525,0.622,0.596,0.6,0.596,0.502,0.45,0.648,0.06,0.489
Niger,Female (Sex),0.469,NA,NA,0.482,0.441,0.322,0.416,0.238,0.265,0.332,0.369,0.406,0.431,0.447
Niue,Female (Sex),0.961,NA,NA,0.912,0.932,0.821,0.796,0.416,0.529,0.256,0.863,0.922,0.98,0.941
Norfolk Island,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,Female (Sex),0.707,NA,NA,0.731,0.595,0.641,0.355,0.666,NA,0.345,0.906,0.91,0.875,0.843
Norway,Female (Sex),0.859,NA,NA,0.852,0.828,0.762,0.589,0.14,0.683,0.441,0.715,0.804,0.831,0.861
Oman,Female (Sex),0.043,NA,0.053,0.123,0.375,0.28,0.227,0.271,0.06,0.151,0.091,0.04,0,0.153
Pakistan,Female (Sex),0.182,NA,NA,0.244,0.251,0.271,0.285,0.29,0.293,0.289,0.266,0.194,0.215,0.08
Palau,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,Female (Sex),0.494,NA,NA,0.528,0.642,0.677,0.657,0.664,0.648,0.554,0.413,0.186,0.087,NA
Papua New Guinea,Female (Sex),0.26,NA,NA,0.519,0.706,0.765,0.787,0.801,0.808,0.81,0.779,0.744,0.661,0.463
Paraguay,Female (Sex),0.519,NA,0.078,0.334,0.641,0.728,0.758,0.747,0.725,0.702,0.663,0.527,0.449,0.262
Peru,Female (Sex),0.404,NA,NA,0.286,0.462,0.643,0.736,0.774,0.784,0.791,0.778,0.736,0.652,0.578
Philippines,Female (Sex),NA,NA,NA,0.236,0.513,0.545,0.551,0.596,0.632,0.655,0.639,0.599,0.496,0.287
Poland,Female (Sex),0.482,NA,NA,0.47,0.765,0.777,0.818,0.839,0.824,0.734,0.507,0.144,0.03,0.11
Portugal,Female (Sex),0.55,NA,NA,0.915,0.893,0.873,0.822,0.767,0.591,0.34,0.083,0.42,0.541,0.114
Puerto Rico,Female (Sex),0.588,NA,NA,0.497,0.37,0.235,0.132,0.042,0.257,NA,0.094,0.388,0.612,0.573
Qatar,Female (Sex),0.625,NA,NA,0.579,0.544,0.389,0.265,0.116,0,0.531,0.053,0.503,0.684,0.663
Réunion,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,Female (Sex),0.645,NA,NA,0.746,0.759,0.744,0.641,0.436,0.225,0.47,0.093,0.383,0.688,0.723
Russian Federation,Female (Sex),0.799,NA,NA,0.834,0.885,0.907,0.905,0.837,0.536,0.256,0.096,0.63,0.076,0.536
Rwanda,Female (Sex),NA,NA,NA,0.824,0.856,0.866,0.869,0.864,0.844,0.811,0.736,0.717,0.362,NA
Saint Lucia,Female (Sex),0.342,NA,NA,0.838,0.831,0.711,0.372,0.214,0.61,0.225,0.702,0.734,0.719,0.634
Samoa,Female (Sex),0.289,NA,NA,0.314,0.302,0.24,0.164,0.089,0.244,0.065,0.296,0.351,0.314,0.328
San Marino,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,Female (Sex),0.309,NA,NA,0.267,0.154,0.094,0.054,0.016,0.006,0.201,0.013,0.17,0.333,0.351
Senegal,Female (Sex),0.58,NA,NA,0.625,0.635,0.582,0.507,0.411,0.19,0.443,0.27,0.362,0.482,0.532
Serbia,Female (Sex),0.744,NA,NA,0.75,0.67,0.415,NA,0.152,NA,0.404,0.08,0.361,0.665,NA
Seychelles,Female (Sex),0.769,NA,NA,0.814,0.814,0.861,0.839,0.83,0.758,0.592,0.38,0.619,NA,0.257
Sierra Leone,Female (Sex),0.387,NA,NA,0.609,0.773,0.8,0.822,0.806,0.859,0.741,0.722,0.537,0.411,0.067
Singapore,Female (Sex),0.102,NA,NA,0.837,0.794,0.754,0.731,0.665,0.591,0.442,0.148,0.135,0.67,0.581
Slovakia,Female (Sex),0.69,NA,NA,0.815,0.901,0.893,0.857,0.657,0.123,0.51,0.048,0.391,0.71,0.913
Slovenia,Female (Sex),0.105,NA,NA,0.907,0.429,0.915,0.466,0.927,0.95,0.905,0.516,0.107,0.469,0.817
Solomon Islands,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,Female (Sex),0.578,NA,NA,0.207,NA,NA,0.504,0.055,0.424,0.633,0.669,0.696,0.696,NA
Spain,Female (Sex),0.311,NA,NA,NA,0.534,0.116,0.573,0.846,0.871,0.855,0.824,0.79,0.716,0.578
Sri Lanka,Female (Sex),0.224,NA,NA,0.356,0.005,0.134,0.408,0.405,0.454,0.429,0.343,0.453,0.418,0.366
"Sudan, The Republic of",Female (Sex),NA,NA,NA,NA,NA,0.17,NA,0.29,NA,0.21,NA,NA,NA,NA
Suriname,Female (Sex),NA,NA,NA,0.578,0.683,0.695,0.631,0.604,0.562,0.513,0.095,0.49,0.04,NA
Sweden,Female (Sex),0.82,NA,NA,0.863,0.909,0.91,0.9,0.881,0.824,0.644,0.11,0.687,0.373,0.7
Switzerland,Female (Sex),0.858,NA,NA,0.835,0.83,0.839,0.86,0.847,0.783,0.516,0.075,0.619,0.533,0.785
Syrian Arab Republic,Female (Sex),0.177,NA,NA,0.194,0.185,0.176,0.146,0.11,0.076,0.037,0.024,0.148,0.059,0.058
Tajikistan,Female (Sex),0.416,NA,NA,0.522,0.625,0.668,0.713,0.622,0.616,0.301,0.294,0.327,0.55,NA
Tanzania (Tanganyika),Female (Sex),NA,NA,0.934,0.954,0.95,0.955,0.947,0.933,0.894,0.809,0.696,NA,0.47,0.739
"Tanzania, United Republic of",Female (Sex),0.786,NA,NA,0.866,NA,0.871,NA,0.89,NA,0.909,NA,0.74,0.54,0.673
Thailand,Female (Sex),0.696,NA,NA,0.633,0.071,0.142,0.564,0.795,0.817,0.845,0.855,0.824,0.759,NA
Timor-Leste,Female (Sex),0.5,NA,NA,0.25,0.13,0.27,0.052,0.18,0.273,0.37,0.355,0.407,0.5,0.389
Tonga,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,Female (Sex),0.587,NA,NA,0.529,0.229,0.045,0.514,0.15,0.629,0.731,0.716,0.77,0.746,0.673
Tunisia,Female (Sex),0.166,NA,NA,0.115,0.048,0.019,0.256,0.131,0.314,0.477,0.405,0.325,0.294,0.235
Turkey,Female (Sex),0.267,NA,0.206,0.162,0.062,0.18,0.303,0.163,0.382,0.406,0.407,0.419,0.414,0.349
Tuvalu,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,Female (Sex),NA,NA,0.971,0.935,0.922,0.871,0.374,0.464,0.177,0.523,0.856,0.906,0.945,0.943
Ukraine,Female (Sex),0.702,NA,NA,0.759,0.817,0.85,0.829,0.771,0.433,0.251,0.164,0.589,0.112,0.51
United Arab Emirates,Female (Sex),0.556,NA,NA,0.479,0.395,0.312,0.206,0.176,0.041,0.049,0.421,0.058,0.471,0.598
United Kingdom of Great Britain and Northern Ireland,Female (Sex),0.788,NA,NA,0.806,0.824,0.805,0.709,0.389,0.071,0.569,0.383,0.722,0.77,0.779
United States,Female (Sex),0.736,NA,NA,0.746,0.749,0.728,0.664,0.502,0.151,0.57,0.345,0.677,0.741,0.735
Uruguay,Female (Sex),NA,NA,NA,0.814,0.81,0.775,0.742,0.642,0.425,0.544,0.204,0.677,0.787,0.803
Uzbekistan,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),Female (Sex),0.141,NA,0.428,0.638,0.698,0.728,0.722,0.687,0.61,0.47,0.317,0.141,0.506,0.023
Viet Nam,Female (Sex),0.9,NA,NA,0.858,0.714,NA,NA,0.732,0.353,0.755,0.9,0.914,0.921,0.918
West Bank and Gaza Strip,Female (Sex),0.177,NA,NA,0.136,0.074,0.144,0.002,0.01,0.176,0.31,0.267,0.248,0.236,0.214
Yemen,Female (Sex),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,Female (Sex),0.841,NA,NA,0.843,0.778,0.743,0.522,0.695,0.444,0.698,0.762,0.805,0.832,0.861
Zimbabwe,Female (Sex),0.581,NA,NA,0.317,0.573,0.641,0.682,0.715,0.735,0.728,0.701,0.68,0.626,0.395
